order_id,order_date,customer_city,category,units,unit_price_inr,discount_pct,payment_method,status,revenue_inr
ORD-0001,2024-07-20,Hyderabad,Electronics,3,1200.0,15,Credit Card,Delivered,3060.0
ORD-0002,2024-12-10,Gurugram,Home,1,8810.0,10,COD,Delivered,7929.0
ORD-0003,2024-08-23,Mumbai,Electronics,4,7437.0,0,Debit Card,Delivered,29748.0
ORD-0004,2024-08-02,Pune,Toys,1,435.0,20,UPI,Delivered,348.0
ORD-0005,2024-01-18,Delhi NCR,Beauty,2,746.0,15,UPI,Delivered,1268.2
ORD-0006,2024-10-03,Bangalore,Toys,1,3710.0,0,UPI,Delivered,3710.0
ORD-0007,2024-10-21,Mumbai,Beauty,5,8942.0,0,Net Banking,Shipped,44710.0
ORD-0008,2024-12-04,Delhi NCR,Fashion,3,2247.0,0,COD,Delivered,6741.0
ORD-0009,2024-03-30,Pune,Books,3,689.0,15,COD,Delivered,1756.95
ORD-0010,2024-11-25,Chennai,Grocery,4,565.0,5,Net Banking,Delivered,2147.0
ORD-0011,2024-07-11,Bangalore,Toys,4,3763.0,5,Net Banking,Delivered,14299.4
ORD-0012,2024-12-28,Bangalore,Home,2,7667.0,5,UPI,Delivered,14567.3
ORD-0013,2024-09-28,Bangalore,Grocery,4,8715.0,15,Credit Card,Delivered,29631.0
ORD-0014,2024-08-18,Mumbai,Electronics,2,3073.0,0,Net Banking,Cancelled,6146.0
ORD-0015,2024-12-10,Pune,Beauty,2,606.0,10,UPI,Delivered,1090.8
ORD-0016,2024-12-09,Hyderabad,Fashion,2,7271.0,15,COD,Delivered,12360.7
ORD-0017,2024-04-18,Bangalore,Toys,3,2833.0,0,UPI,Cancelled,8499.0
ORD-0018,2024-11-05,Chennai,Fashion,4,8243.0,20,COD,Delivered,26377.6
ORD-0019,2024-07-13,Delhi NCR,Home,5,2996.0,5,Debit Card,Delivered,14231.0
ORD-0020,2024-08-26,Bangalore,Books,3,3333.0,10,COD,Shipped,8999.1
