match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_margin,player_of_match
1,2022,2022-04-11,Chennai Super Kings,Punjab Kings,Eden Gardens,Kolkata,Chennai Super Kings,bat,Punjab Kings,65 runs,MS Dhoni
2,2022,2022-03-30,Mumbai Indians,Gujarat Titans,M. Chinnaswamy Stadium,Bengaluru,Gujarat Titans,field,Mumbai Indians,39 runs,JC Buttler
3,2022,2022-04-17,Mumbai Indians,Kolkata Knight Riders,M. Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders,field,Mumbai Indians,5 wickets,DP Conway
4,2022,2022-05-14,Punjab Kings,Rajasthan Royals,Narendra Modi Stadium,Ahmedabad,Punjab Kings,bat,Rajasthan Royals,45 runs,V Kohli
5,2022,2022-05-13,Delhi Capitals,Sunrisers Hyderabad,MA Chidambaram Stadium,Chennai,Sunrisers Hyderabad,field,Delhi Capitals,5 wickets,RD Gaikwad
6,2022,2022-05-08,Mumbai Indians,Chennai Super Kings,Arun Jaitley Stadium,Delhi,Mumbai Indians,bat,Mumbai Indians,59 runs,SA Yadav
7,2022,2022-04-01,Punjab Kings,Chennai Super Kings,Arun Jaitley Stadium,Delhi,Chennai Super Kings,bat,Punjab Kings,6 wickets,JC Buttler
8,2022,2022-04-14,Gujarat Titans,Lucknow Super Giants,Eden Gardens,Kolkata,Gujarat Titans,bat,Gujarat Titans,6 wickets,RD Gaikwad
9,2022,2022-05-11,Kolkata Knight Riders,Chennai Super Kings,Narendra Modi Stadium,Ahmedabad,Kolkata Knight Riders,field,Kolkata Knight Riders,4 wickets,Mohammed Siraj
10,2022,2022-05-05,Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,Sunrisers Hyderabad,bat,Chennai Super Kings,77 runs,KL Rahul
11,2022,2022-05-09,Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Delhi,Kolkata Knight Riders,bat,Chennai Super Kings,8 wickets,V Kohli
12,2022,2022-05-12,Rajasthan Royals,Royal Challengers Bengaluru,M. Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,field,Rajasthan Royals,6 wickets,JC Buttler
13,2022,2022-04-22,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Mumbai Indians,35 runs,HH Pandya
14,2022,2022-04-11,Delhi Capitals,Gujarat Titans,M. Chinnaswamy Stadium,Bengaluru,Gujarat Titans,field,Gujarat Titans,72 runs,RR Pant
15,2022,2022-05-13,Lucknow Super Giants,Gujarat Titans,Wankhede Stadium,Mumbai,Gujarat Titans,field,Lucknow Super Giants,7 wickets,HH Pandya
16,2022,2022-03-23,Rajasthan Royals,Punjab Kings,Rajiv Gandhi Intl. Stadium,Hyderabad,Rajasthan Royals,field,Rajasthan Royals,51 runs,DP Conway
17,2022,2022-04-03,Lucknow Super Giants,Kolkata Knight Riders,Narendra Modi Stadium,Ahmedabad,Kolkata Knight Riders,field,Kolkata Knight Riders,8 wickets,DP Conway
18,2022,2022-03-28,Gujarat Titans,Royal Challengers Bengaluru,Eden Gardens,Kolkata,Gujarat Titans,bat,Royal Challengers Bengaluru,6 wickets,V Kohli
19,2022,2022-03-24,Royal Challengers Bengaluru,Lucknow Super Giants,M. Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,5 wickets,AR Patel
20,2022,2022-03-22,Punjab Kings,Gujarat Titans,Wankhede Stadium,Mumbai,Punjab Kings,bat,Gujarat Titans,8 wickets,AR Patel
21,2022,2022-05-13,Punjab Kings,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Hyderabad,Chennai Super Kings,field,Chennai Super Kings,49 runs,DP Conway
22,2022,2022-04-04,Mumbai Indians,Delhi Capitals,Narendra Modi Stadium,Ahmedabad,Mumbai Indians,bat,Mumbai Indians,6 wickets,RG Sharma
23,2022,2022-04-27,Kolkata Knight Riders,Gujarat Titans,M. Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders,bat,Gujarat Titans,9 wickets,HH Pandya
24,2022,2022-05-05,Gujarat Titans,Sunrisers Hyderabad,Rajiv Gandhi Intl. Stadium,Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,48 runs,RG Sharma
25,2022,2022-04-13,Royal Challengers Bengaluru,Lucknow Super Giants,MA Chidambaram Stadium,Chennai,Lucknow Super Giants,field,Lucknow Super Giants,5 wickets,HH Pandya
26,2022,2022-04-27,Rajasthan Royals,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Hyderabad,Rajasthan Royals,bat,Lucknow Super Giants,44 runs,DA Warner
27,2022,2022-05-07,Gujarat Titans,Delhi Capitals,Arun Jaitley Stadium,Delhi,Gujarat Titans,bat,Delhi Capitals,7 wickets,RR Pant
